" hold_court.6010.desc0: ""An envoy from a provincial city, [6010_embassy.Custom2('MyCharacterIntroduction', ROOT.Char)], has come to protest the abuse [6010_embassy.GetHerHis] city has been suffering at the hand of its neighbor, [6010_church.GetCouncilTitle] [6010_church.GetFirstNameNoTooltip] under the protection of their liege, [6010_count.Custom2('MyCharacterIntroduction', ROOT.Char)].\n\n""They occupy and repossess our arable land by force, and threaten the land owners with spiritual damnation and material violence to make them sell their belongings! I beg of you, my [ROOT.Char.GetLadyLord], do us justice!"""""|""|""
" hold_court.6010.a0: ""[6010_church.GetFirstNameNoTooltip] is well within [6010_church.GetHerHis] rights."""|""|""
" hold_court.6010.b0: ""[6010_church.GetFirstNameNoTooltip] is not above the law."""|""|""
" 6010_revoke_title_reason0: ""You gain a [revoke_title_reason"|"E] on [6010_count.GetFirstNameNoTooltip]"""|""
" hold_court.6010.c0: ""Don't bother me with these local squabbles."""|""|""
" hold_court.6010.d0: ""[6010_embassy.GetFirstNameNoTooltip"|"U], you can serve me better."""|""
" hold_court.6010.d.tt0: ""[6010_county.GetNameNoTooltip"|"U] becomes a Republic vassal"""|""
" #Hawks and Doves"|""|""
" hold_court.6020.t0: ""Hawks and Doves"""|""|""
" hold_court.6020.desc0: ""[hawk.Custom2('MyCharacterIntroduction', ROOT.Char)"|"U] and [dove.Custom2('MyCharacterIntroduction', ROOT.Char)] stand in front of me, bickering — as usual — about the best politics for our country.\n\n""War is the only way to make a country rich and powerful!"" states [hawk.GetFirstNameNoTooltip] assertively.\n\n""Only in peace can a country grow and prosper!"" retorts [dove.GetFirstNameNoTooltip].\n\nThis time, however, they expect me to take a position."""|""
" hold_court.6020.a0: ""Our people are proud warriors, not cowardly peasants!"""|""|""
" hold_court.6020.b0: ""Only peace can bring us prosperity!"""|""|""
" hold_court.6020.c0: ""We only do what #EMP I#! decide."""|""|""
" #From Beyond the Border"|""|""
" hold_court.6030.t0: ""From Beyond the Border"""|""|""
" hold_court.6030.desc0: """"My [ROOT.Char.GetLadyLord], I come from the religious community of [6030_church.GetName], in the [6030_border.GetName].\n\n""There, wise and pious [6030_monk.GetWomenMen] have been collecting and preserving the traditional knowledge of [6030_monk.GetCulture.GetName] culture for centuries. As a sign of our good will, I offer you this precious anthology of [6030_monk.GetCulture.GetNameNoTooltip] texts translated into your own language.\n\n""We hope you will accept it and gain a new perspective onto our people."""""|""|""
" hold_court.6030.a0: ""I graciously accept."""|""|""
" hold_court.6030.b0: ""Please, stay, and teach me more!"""|""|""
" hold_court.6030.b.tt.20: ""All rulers of [6030_monk.GetCulture.GetName] culture"""|""|""
" hold_court.6030.c0: ""I don't care, just get out of my sight."""|""|""
" hold_court.6030.d0: ""Your inferior culture is not worthy of being remembered!"""|""|""
" hold_court.6030.d.tt0: ""All your vassals of [6030_monk.GetCulture.GetName] culture"""|""|""
" #A Lost Treasure"|""|""
" hold_court.6040.t0: ""A Lost Treasure"""|""|""
" hold_court.6040.desc0: """"My [ROOT.Char.GetLadyLord], I represent the religious community of [6040_church.GetNameNoTooltip].\n\n""While rummaging through our modest archive, we have come across a very peculiar book. The cover was dusty, the binding fragile, and the pages were yellowed by time, but it contained the most unusual drawings, and the script itself was unknown to us all.\n\n""We are certain it is unique in the world, a long—lost vault of knowledge, a true treasure! That's why we offer it to you. Perhaps it's the original copy of the will of [6040_monk.GetFaith.HighGodName], or it's a memoir from the world's creation!"""""|""|""
" hold_court.6040.a0: ""Thanks, I'll add it to my collection."""|""|""
" hold_court.6040.b0: ""#EMP Fascinating!#! Call for my antiquarian!"""|""|""
" hold_court.6040.b.tt0: ""Your antiquarian is clueless"""|""|""
" hold_court_6040_b_fake0: ""The book is a badly—crafted forgery — worthless and useless"""|""|""
" hold_court_6040_b_generic0: ""The book is indeed old, but it's just a [6040_monk.Custom('GetOldBook')]."""|""|""
" hold_court_6040_b_clueless0: ""Not even your antiquarian can shed some light on the book's origins and purpose"""|""|""
" hold_court_6040_b_artifact0: ""The book is an ancient and precious copy of a masterpiece!"""|""|""
" hold_court.6040.c0: ""Let me have a look at it, #EMP right now#!!"""|""|""
" hold_court.6040.c.tt0: ""It's a badly—crafted fake!"""|""|""
" hold_court.6040.c.tt.20: ""The book remains a mystery to you"""|""|""
" hold_court.6040.c.tt.30: ""It's a nice manuscript, but nothing special"""|""|""
" hold_court.6040.c.tt.40: ""It's a rare and valuable text"""|""|""
" hold_court_6040_c_clueless0: ""The book's script and content are beyond your comprehension"""|""|""
" hold_court.6040.d0: ""It must be a work of [ROOT.Char.GetFaith.DevilName]! BURN IT!"""|""|""
" hold_court.6040.e0: ""Who cares about books?"""|""|""
" #A Holy Tomb"|""|""
" hold_court.6050.t0: ""A Holy Tomb"""|""|""
" hold_court.6050.desc0: ""The peasant in front of me seems about to explode with excitement.\n\n""My [ROOT.Char.GetLadyLord]! The miracles! The holiness! We have been #EMP BLESSED#!!""\n\n[6050_pop.GetHerHis"|"U] enthusiastic ramblings are confusing, but I finally get the gist of it: [6050_pop.GetSheHe] wants me to sponsor the cult of a local saint who has recently died in [6050_tomb.GetNameNoTooltip]. [6050_holy.GetFirstName] was a miracle—maker in life, known for [6050_holy.Custom('GetMiracle1')] and [6050_holy.Custom('GetMiracle2')]. [6050_holy.GetHerHis"|"U] tomb is attracting devoted visitors from all over the realm."""
" hold_court.6050.desc_hof0: ""\n\nAs [head_of_faith"|"E], it is my prerogative to decide whether to condemn or promote this cult."""|""
" hold_court.6050.a0: ""[6050_holy.GetHerHis"|"U] Holiness will get the veneration [6050_holy.GetSheHe] deserves."""|""
" hold_court.6050.b0: ""I already know. The Saint came to me in a dream."""|""|""
" hold_court.6050.c0: ""I shall eradicate this blasphemous nonsense right away!"""|""|""
" hold_court.6050.d0: ""I don't care about peasant superstitions."""|""|""
" #A Convenient offer"|""|""
" hold_court.6060.t0: ""A Convenient Offer"""|""|""
" hold_court.6060.desc0: ""[6060_rich.Custom2('MyCharacterIntroduction', ROOT.Char)"|"U] stands before me, a hopeful expression on his face.\n\n""My [ROOT.Char.GetLadyLord],"""|""
" hold_court.6060.desc_merchant0: """"My [ROOT.Char.GetLadyLord], let me introduce myself: my name is [6060_rich.GetTitledFirstName] and I'm a wealthy merchant from the capital.\n\n"""|""|""
" hold_court.6060.desc_ending0: """"I couldn't help but notice that, in recent times, the realm's finances have not been the healthiest. Of course, you have been administering them egregiously, but — perhaps — you might find some use for some extra gold.\n\n""I'm willing to buy a minor settlement off your hands in exchange for a generous sum of gold. Would it be acceptable?"""""|""|""
" hold_court.6060.a0: ""Very well. You can have [6060_offer.GetNameNoTooltip]."""|""|""
" hold_court.6060.b0: ""I'm sure you can offer #EMP a bit more#!..."""|""|""
" hold_court.6060.b.tt.success0: ""[6060_rich.GetFirstNameNoTooltip] accepts to pay more"""|""|""
" hold_court.6060.b.tt.failure0: ""[6060_rich.GetFirstNameNoTooltip] stands by [6060_rich.GetHerHis] last offer and you look like a greedy fool"""|""|""
" hold_court.6060.c0: ""I don't need your gold."""|""|""
" #Budding Ally"|""|""
" hold_court.6070.t0: ""Budding Ally"""|""|""
" hold_court.6070.desc0: """" My [ROOT.Char.GetLadyLord], my name is [6070_embassy.GetTitledFirstName] and I am an ambassador of your ally, [6070_sender.GetTitledFirstName]. I bring you [6070_sender.GetHerHis] friendly greetings and an offer.\n\n""My liege values your friendship above all, so, as a sign of good will, [6070_sender.GetSheHe] sends you this child — [6070_sender.GetHerHis] [6070_child.Custom('GetDaughterSon')] [6070_child.GetFirstName] — to educate as you please.\n\n""My [6070_sender.GetLadyLord] hopes that this gesture will strengthen your alliance and is confident that [6070_child.GetFirstNameNoTooltip] will be in great hands."""""|""|""
" hold_court.6070.a0: ""I gladly accept your offer."""|""|""
" hold_court.6070.b0: ""Of course! [6070_friend.GetFirstNameNoTooltip], show [6070_child.GetHerHim] around!"""|""|""
" hold_court.6070.c0: ""I accept — but I expect a betrothal in exchange."""|""|""
" hold_court.6070.d0: ""I'm sorry but I can't accept this responsibility now."""|""|""
" hold_court.6070.e0: ""That child is a notorious menace — you won't dump [6070_child.GetHerHim] on me!"""|""|""
" #Settling the [people]"|""|""
" hold_court.6080.t0: ""Settling the [6080_culture.GetNameNoTooltip"|"U]"""|""
" hold_court.6080.desc0: """"My [ROOT.Char.GetLadyLord], I represent the [6080_culture.GetNameNoTooltip] people of the [6080_county.GetNameNoTooltip],"" states [6080_count.Custom2('MyCharacterIntroduction', ROOT.Char)].\n\n""We are devoted and faithful subjects, but our land is poor, underdeveloped, and scarcely populated. Please, allow us to recolonize it, and to administrate it according to our traditions!\n\n""Under your benevolent protection, our land can still prosper, and you shall gain a new faithful vassal!"""""|""|""
" hold_court.6080.a0: ""Very well. Your people can populate the [6080_county.GetNameNoTooltip] for me."""|""|""
" hold_court.6080.a.tt0: ""You won't be able to revoke this title until [6080_count.GetFirstNamePossessiveNoTooltip] death"""|""|""
" hold_court.6080.b0: ""I know what's best for the [6080_county.GetNameNoTooltip]."""|""|""
" hold_court.6080.c0: ""The [6080_culture.GetNameNoTooltip] people should disappear from my realm!"""|""|""
" #Heretics at Large"|""|""
" hold_court.6090.t0: ""Heretics at Large"""|""|""
" hold_court.6090.desc0: """"My [ROOT.Char.GetLadyLord], I regret to inform you that the religious situation in my lands is out of control...\n\n""I have tried to make my subjects see the light of our true faith, but too many of them persist in their wrong beliefs! I beg of you to use your authority and power to help me!"""""|""|""
" hold_court.6090.desc.almoner0: ""\n\n""My [ROOT.Char.GetLadyLord] — if I may"", interjects [high_almoner.Custom2('MyCharacterIntroduction', ROOT.Char)], ""Perhaps they could be persuaded by handling generous alms to the #EMP right#! faithfuls?"""""|""|""
" hold_court.6090.desc.executioner0: ""\n\n""I bet they just need #EMP a firm hand#!"", says [executioner.Custom2('MyCharacterIntroduction', ROOT.Char)] with a dark smile."""|""|""
" hold_court.6090.a0: ""[court_chaplain.GetFirstNameNoTooltip], see what you can do."""|""|""
" hold_court.6090.b0: ""[high_almoner.GetFirstNameNoTooltip], organize some local alms."""|""|""
" hold_court.6090.c0: ""Peaceful coexistence is always the best solution."""|""|""
" hold_court.6090.d0: ""[executioner.GetFirstNameNoTooltip], make an example of some disbelievers."""|""|""
" hold_court.6090.e0: ""That sounds like your problem, not mine."""|""|""
" #A Land at War"|""|""
" hold_court.6100.t0: ""A Land at War"""|""|""
" hold_court.6100.desc0: ""In front of me stand [6100_vassal_1.Custom2('MyCharacterIntroduction', ROOT.Char)] and [6100_vassal_2.Custom2('MyCharacterIntroduction', ROOT.Char)].\n\n""My [ROOT.Char.GetLadyLord]"" begins [6100_vassal_1.GetFirstNameNoTooltip] ""the war between myself and [6100_vassal_2.GetTitledFirstNameNoTooltip] is dragging because of [6100_vassal_2.GetHerHis] stubborn refusal to see reason, so we come to you for mediation.""\n\n""So now it's #EMP my fault#!!?"" interjects [6100_vassal_2.GetFirstNameNoTooltip] ""You unbelievable cur! My [ROOT.Char.GetLadyLord], do tell [6100_vassal_1.GetHerHim]!"""""|""|""
" hold_court.6100.desc.jester0: ""\n\n[jester.Custom2('MyCharacterIntroduction', ROOT.Char)"|"U] perks up: ""Ohh, I #EMP love#! petty squabbles! They go well with... FUNNY RHYMES!"""""|""
" hold_court.6100.a0: ""Anyone could see that [6100_vassal_1.GetFirstNameNoTooltip] is in the right."""|""|""
" hold_court.6100.b0: ""[6100_vassal_2.GetFirstNamePossessiveNoTooltip] position is legitimate."""|""|""
" hold_court.6100.c0: ""Cease the fighting at once, or else..."""|""|""
" hold_court.6100.d0: ""I'm tired of your nonsense. Off to the prison with both of you!"""|""|""
" hold_court.6100.e0: ""Let us sort this like honorable warriors."""|""|""
" hold_court.6100.e.tt0: ""The two contenders will solve the war through a duel"""|""|""
" hold_court.6100.f0: ""Haha, good idea! You two trade some rhyming quips!"""|""|""
" hold_court.6100.f.10: ""You're such a hedge-born knave\nyou must live in a cave\nI hate you so much\nyou should stay in a hutch...?"""""|""|""
" hold_court.6100.f.1.t0: ""You guffaw at [6100_vassal_1.GetShortUINamePossessive"|"U] feeble attempts"""|""
" hold_court.6100.f.20: """"You uncultured churl\ncan't scare a little girl\nI'll send you running\nyou are not so cunning...?"""""|""|""
" hold_court.6100.f.2.t0: ""You roar with laughter at [6100_vassal_2.GetShortUINamePossessive"|"U] terrible lines"""|""
" hold_court.6100.g0: ""You are bothering me with your petty squabbles. Leave."""|""|""
" hold_court.6100.g.tt0: ""The war keeps raging"""|""|""
" hold_court.6101.t0: ""[sc_victor.GetTitledFirstName"|"U] wins the duel"""|""
" hold_court.6101.tt0: ""[sc_victor.GetTitledFirstName"|"U] is declared the winner of the war"""|""
" #A Ravished Land"|""|""
" hold_court.6110.t0: ""A Ravished Land"""|""|""
" hold_court.6110.desc0: """"My [ROOT.Char.GetLadyLord], I am but a humble peasant, but I beg for your help! The land of my people has been ravaged by the long and bloody war between your vassals [6110_vassal_1.GetTitledFirstName] and [6110_vassal_2.GetTitledFirstName]!\n\n""The fields burn, the animals are slaughtered, and the peasants die! Please, stop the bloodshed!"""""|""|""
" hold_court.6110.desc.almoner0: ""\n\n""May the mercy of [almoner.GetFaith.HighGodName] and the generosity of [almoner.GetFaith.HighGodNamePossessive] children be a balm to your sufferings"" suggests [almoner.Custom2('MyCharacterIntroduction', ROOT.Char)] softly."""|""|""
" hold_court.6110.a0: ""I'm sure some gold will relieve your misfortunes."""|""|""
" hold_court.6110.b0: ""I decree the war be stopped immediately!"""|""|""
" hold_court.6110.c0: ""They will pay a fine for their excesses."""|""|""
" hold_court.6110.d0: ""How #EMP dare#! you criticize your superiors?!"""|""|""
" hold_court.6110.e0: ""A peasant shouldn't meddle in the matters of nobility."""|""|""
" hold_court.6110.f0: ""[almoner.GetFirstNameNoTooltip], see that generous alms reach the peasants in need."""|""|""
" 6110_custom_every_realm_10: ""All counties in [6110_vassal_1.GetShortUINamePossessive] realm"""|""|""
" 6110_custom_every_realm_20: ""All counties in [6110_vassal_2.GetShortUINamePossessive] realm"""|""|""
" #The Day of Truth"|""|""
" hold_court.6120.t0: ""The Day of Truth"""|""|""
" hold_court.6120.desc0: """"My [ROOT.Char.GetLadyLord] - [steward.Custom2('MyCharacterIntroduction', ROOT.Char)] takes the floor - ""I have an idea to improve taxation.\n\n""You could send surveyors to question your subjects about every property: its name, owner, extension, and value, and how many people and animals live there!"""""|""|""
" hold_court.6120.desc.seneschal0: ""\n\n""Please, my [ROOT.Char.GetLadyLord], allow me to oversee the matter."" [seneschal.Custom2('YourCharacterIntroduction', ROOT.Char)"|"U] speaks up."""|""
" hold_court.6120.desc.swans0: ""\n\n""And I'll provide a list of all the swans in your land! My favorite is [keeper_swans.Custom('GetSwanName')]! Have I told you recently how soft and fluffy her belly is? Yesterday we went for a walk and..."" I decide to ignore [keeper_swans.Custom2('MyCharacterIntroduction', ROOT.Char)] as [keeper_swans.GetSheHe] babbles on about the bloody bird."""|""|""
" hold_court.6120.desc.jester0: ""\n\n""But numbers are #EMP booooring!#!"" complains [jester.Custom2('MyCharacterIntroduction', ROOT.Char)] ""Let's dance instead!"""""|""|""
" hold_court.6120.a0: ""Very well, proceed with the survey."""|""|""
" hold_court.6120.a.tt0: ""The survey begins. It will take some months to complete"""|""|""
" hold_court.6120.b0: ""[seneschal.GetFirstNameNoTooltip], take care of this."""|""|""
" hold_court.6120.c0: ""If I want to improve taxation, I can just ask for #EMP more#! taxes..."""|""|""
" 6120_every_vassal0: ""Each of your vassals"""|""|""
" hold_court.6120.d0: ""It's not worth it."""|""|""
" hold_court.6120.e0: ""Indeed, let's dance the evil numbers away!"""|""|""
" swan_name_illfated0: ""Ill-Fated"""|""|""
" swan_name_rose0: ""Rose"""|""|""
" swan_name_honky0: ""Honky Honk"""|""|""
" swan_name_honker0: ""Honker"""|""|""
" swan_name_hugo0: ""Hugo"""|""|""
" swan_name_leda0: ""Leda"""|""|""
" swan_name_anklebiter0: ""Ankle-Biter"""|""|""
" swan_name_angrynipper0: ""Angry Nipper"""|""|""
" swan_name_odette0: ""Odette"""|""|""
" hold_court.6121.t0: ""The Day of Truth: Survey Completed"""|""|""
" hold_court.6121.desc0: """"It is done, my [ROOT.Char.GetLadyLord]"" states [6121_responsible.Custom2('MyCharacterIntroduction', ROOT.Char)] as [6121_responsible.GetSheHe] bows in front of me.\n\n""Several months ago you commissioned a survey of all your lands; now it is completed, and details on ownership and land value are all collected in this book. As long as this description is faithful to reality, your taxation will be more efficient throughout your realm!"""""|""|""
" hold_court.6121.a0: ""Excellent job, [6121_responsible.GetFirstNameNoTooltip]!"""|""|""
" #The Cadastre"|""|""
" hold_court.6130.t0: ""The Cadastre"""|""|""
" hold_court.6130.desc0: """"My [ROOT.Char.GetLadyLord]"" [6130_proposer.Custom2('MyCharacterIntroduction', ROOT.Char)] speaks up ""I propose a cadastral survey of all the counties you own.\n\n""Improved knowledge and mapping of your land will certainly increase its prosperity!"""|""|""
" hold_court.6130.desc_tutor0: ""\n\n""This would be a great opportunity to let [6130_tutored.Custom2('YourCharacterIntroduction', ROOT.Char)] gain some experience in math and geometry on the field. Allow us to tag along"" requires [tutor.Custom2('MyCharacterIntroduction', ROOT.Char)]."""|""|""
" hold_court.6130.desc_hunt0: ""\n\n""No one knows your lands and woods better than me! Let me help!"" intervenes [m_hunt.Custom2('MyCharacterIntroduction', ROOT.Char)]."""|""|""
" hold_court.6130.a0: ""Very well, [6130_proposer.GetFirstNameNoTooltip]. You may proceed."""|""|""
" hold_court.6130.a.tt0: ""[6130_proposer.GetFirstNameNoTooltip] starts working on the cadastral survey. It will take several months to be completed."""|""|""
" hold_court.6130.b0: ""Good idea. Take [tutor.GetFirstNameNoTooltip] and [6130_tutored.GetFirstNameNoTooltip] with you!"""|""|""
" hold_court.6130.b.tt0: ""[6130_proposer.GetFirstNameNoTooltip] and [tutor.GetFirstName] start working on the cadastral survey. It will take several months to be completed."""|""|""
" hold_court.6130.c0: ""[m_hunt.GetFirstNameNoTooltip], help out."""|""|""
" hold_court.6130.d0: ""Maps are overrated."""|""|""
" hold_court.6131.t0: ""The Cadastre: Completed!"""|""|""
" hold_court.6131.desc0: ""[6131_proposer.Custom2('MyCharacterIntroduction', ROOT.Char)"|"U] bows briefly before me and explains with a satisfied smile: ""My [ROOT.Char.GetLadyLord], you might remember that, some months ago, you invested a large sum of gold into a cadastre of your counties. \n\n""I have personally supervised the matter and can proudly say that the job is done!"""""|""
" hold_court.6131.desc_tutor0: ""I am also pleased to hear a detailed report of [6130_tutored.GetTitledFirstNamePossessive] learnings under the guidance of [6130_helper.Custom2('MyCharacterIntroduction', ROOT.Char)]."""|""|""
" hold_court.6131.desc_hunt0: ""\n\nI am also pleased to hear a detailed report of the major help offered by [6130_helper.Custom2('MyCharacterIntroduction', ROOT.Char)]."""|""|""
" hold_court.6131.desc_dead0: ""\n\nSadly, [6130_helper.GetTitledFirstName] didn't live long enough to see the completion of the cadastre [6130_helper.GetSheHe] had vowed to help make."""|""|""
" hold_court.6131.a0: ""Gold well spent!"""|""|""
" #A Cumbersome Gift"|""|""
" hold_court.6140.t0: ""A Cumbersome Gift"""|""|""
" hold_court.6140.desc0: ""The whole throne room falls silent as [6140_gifter.Custom2('MyCharacterIntroduction', ROOT.Char)] enters triumphantly, followed by two struggling servants who are dragging #EMP a chained [6140_gifter.Custom('GetFerociousAnimal')]#!.\n\nSmiling proudly, [6140_gifter.GetFirstNameNoTooltip] exclaims: ""My [ROOT.Char.GetLadyLord], I present you a gift worthy of the mightiest ruler in the world! This magnificent beast was hunted in the [6140_province.GetTerrain.GetNameNoTooltip] of [6140_province.GetCounty.GetName], and now I offer it to you as a symbol of my devotion and your unparalleled power!"""""|""|""
" 6140_bear0: ""bear"""|""|""
" 6140_tiger0: ""tiger"""|""|""
" 6140_lion0: ""lion"""|""|""
" hold_court.6140.a0: ""Thank you, I really needed a new carpet."""|""|""
" hold_court.6140.a.tt0: ""The animal is killed for its hide."""|""|""
" hold_court.6140.artifact_tt0: ""You receive a Pelt [court_artifact"|"E]"""|""
" hold_court.6140.artifact_toast0: ""Pelt acquired"""|""|""
" hold_court.6140.b0: ""Indeed: a mighty beast for a mighty ruler!"""|""|""
" hold_court.6140.c0: ""My jester will learn to ride it! Won't you, [jester.GetFirstNameNoTooltip]?"""|""|""
" hold_court.6140.c.success0: ""It can be done!"""|""|""
" hold_court.6140.c.success.tt0: ""[jester.GetFirstNameNoTooltip] learns to ride the [6140_gifter.Custom('GetFerociousAnimal')]"""|""|""
" hold_court.6140.c.soft_failure0: ""[jester.GetFirstNameNoTooltip] falls on [jester.GetHerHis] ass"""|""|""
" hold_court.6140.c.soft_failure.tt0: ""Everyone laughs at [jester.GetFirstNamePossessiveNoTooltip] failure"""|""|""
" hold_court.6140.c.middle_failure0: ""[jester.GetFirstNameNoTooltip] gets hurt"""|""|""
" hold_court.6140.c.middle_failure.tt0: ""[jester.GetFirstNameNoTooltip] is unsuccessful"""|""|""
" hold_court.6140.c.hard_failure0: ""[jester.GetFirstNameNoTooltip] dies!"""|""|""
" hold_court.6140.c.hard_failure.tt0: ""[jester.GetFirstNameNoTooltip] failed miserably..."""|""|""
" hold_court.6140.d0: ""I'm sure that my #EMP guests#! in the dungeon will #EMP love#! it..."""|""|""
" hold_court.6140.e0: ""That looks dangerous and smelly! Take it away."""|""|""
" 6140_every_courtier_or_guest0: ""Every courtier or guest at your court"""|""|""
" 6140_every_prisoner0: ""Every prisoner in your cells"""|""|""
" #The End Is Nigh!"|""|""
" hold_court.6150.t0: ""The End Is Nigh!"""|""|""
" hold_court.6150.desc0: ""As soon as it is [6150_preacher.GetHerHis] turn to speak, the agitated [6150_preacher.GetWomanMan] in front of me screams: ""#EMP THE END IS NIGH!#!\n\n""The signs are clear and everywhere:"""|""|""
" hold_court.6150.desc_county0: ""the people of [6150_county.GetName] know it all too well —"""|""|""
" hold_court.6150.desc_unsafety0: ""disorders, bandits, thieves, violence, and the disappearance of justice among men!"""|""|""
" hold_court.6150.desc_nature0: ""crops failing, grasshoppers invading the fields, never—ending cold, floods, and the Plague walking among us!"""|""|""
" hold_court.6150.desc_looting0: ""first of all, the barbarians at our doors, looting our crops, killing our people, razing our cities, and spreading sickness and hunger!"""|""|""
" hold_court.6150.desc_infidels0: ""the infidels are everywhere, undermining us from both beyond the border and inside our own realm!"""|""|""
" hold_court.6150.desc_lost_hgw0: ""what could be clearer than the armies of [ROOT.GetCharacter.GetFaith.HighGodName] being defeated by the infidels?"""|""|""
" hold_court.6150.desc_visions0: ""thunderbolts in the clear sky, birds migrating out of season, chanting voices in the night, speaking snakes!"""|""|""
" hold_court.6150.desc_monk0: ""the dates and calculations all add up!"""|""|""
" hold_court.6150.desc_fallback0: ""violence, corruption, vices — the faithfuls have forgotten [ROOT.GetCharacter.GetFaith.HighGodName]!"""|""|""
" hold_court.6150.desc_christianism0: ""\n\n""The Day of Judgment is upon us!"""|""|""
" hold_court.6150.desc_buddhism0: ""\n\n""The time of Maitreya has come!"""|""|""
" hold_court.6150.desc_islam0: ""\n\n""The Last Judgment is coming!"""|""|""
" hold_court.6150.desc_judaism0: ""\n\n""The War of Gog and Magog is upon us!"""|""|""
" hold_court.6150.desc_germanic0: ""\n\n""Ragnarök is upon us!"""|""|""
" hold_court.6150.desc_hinduism0: ""\n\n""Kalki is coming!"""|""|""
" hold_court.6150.desc_zoroastrianism0: ""\n\n""The Frashokereti has begun!"""|""|""
" hold_court.6150.desc_religion_fallback0: ""\n\n""The world as we know it is about to end!"""|""|""
" hold_court.6150.desc_solution0: ""\n\n""There is only one way for us to be saved:"""|""|""
" hold_court.6150.desc_celibacy0: ""chastity and purity! Renounce the temptations of the flesh!"""|""|""
" hold_court.6150.desc_burn0: ""burn #EMP all#! the infidels!"""|""|""
" hold_court.6150.desc_alcohol0: ""renounce all vices, starting with the excesses of alcohol and food!"""|""|""
" hold_court.6150.desc_reclusive0: ""reject the world and its temptations!"""|""|""
" hold_court.6150.desc_flagellant0: ""mortify the flesh, and pour blood for your salvation!"""|""|""
" hold_court.6150.desc_eating0: ""purify your heart by purifying your body! Salvation can't be reached with a heavy belly!"""|""|""
" hold_court.6150.desc_end0: ""\n\n""Repent now!! For the day is nigh!!"""""|""|""
" hold_court.6150.a0: ""Salvation must be achieved through every means!"""|""|""
" hold_court.6150.a.tt0: ""You are already familiar with these repentant practices."""|""|""
" hold_court.6150.a.wrath0: ""You order [6150_heretics_p.GetName] be cleansed of all sinners"""|""|""
" hold_court.6150.b0: ""Wise [6150_preacher.GetFirstNameNoTooltip], stay and teach me the way!"""|""|""
" hold_court.6150.c0: ""Nonsense! Burn this raving heretic!"""|""|""
" hold_court.6150.d0: ""Take this fool out of my sight."""|""|""
" #Empty Coffers"|""|""
" hold_court.6160.t0: ""Empty Coffers"""|""|""
" hold_court.6160.desc0: """"My [ROOT.Char.GetLadyLord]"" begins [6160_vassal.Custom2('MyCharacterIntroduction', ROOT.Char)], looking very contrite ""the last period has been really tough on my domain, extra expenses were required on every front, and my coffers are sadly empty...\n\n""It pains me to, but I resolved to appeal to your munificence for help in paying off my debts."""|""|""
" hold_court.6160.desc_friend0: ""\n\n""In the name of the ties that bind us, please, help me!"""|""|""
" hold_court.6160.desc_hook0: ""\n\n""If you do, I will consider the favor you owe me repaid."""|""|""
" hold_court.6160.desc_fallback0: ""\n\n""I will not forget your generosity in my time of need!"""""|""|""
" hold_court.6160.a0: ""Very well — but you will owe me!"""|""|""
" hold_court.6160.b0: ""Very well — I owe you nothing now."""|""|""
" hold_court.6160.c0: ""It's the least I could do for you!"""|""|""
" hold_court.6160.d0: ""As my High Almoner teaches, charity is the way of the pious."""|""|""
" hold_court.6160.e0: ""Debt means bad administration. [seneschal.GetFirstNameNoTooltip], help [6160_vassal.GetHerHim]!"""|""|""
" hold_court.6160.f0: ""Sorry, I have no money to spare."""|""|""
" #Ignoble Imprisonment"|""|""
" hold_court.6170.t0: ""Ignoble Imprisonment"""|""|""
